subject_id,sex,height_cm,weight_kg,body_fat_pct,bench_press_kg,squat_kg,deadlift_kg,resting_hr,vo2max,mile_time_sec
1,M,183.1,92.2,15.5,107.1,120.4,150.1,68,43.9,483
2,F,166.1,63.0,31.6,25.9,42.2,62.3,75,29.2,495
3,M,170.6,76.8,15.6,105.2,142.3,158.3,73,42.1,508
4,F,161.4,60.0,23.2,57.5,88.4,101.9,69,37.6,470
5,F,167.2,59.8,28.1,11.2,18.2,43.9,66,38.2,493
6,F,161.5,54.7,37.4,17.9,40.0,40.8,76,24.7,540
7,M,183.3,100.2,19.4,105.7,114.2,155.9,81,30.9,548
8,M,171.4,71.6,13.9,80.0,98.5,129.1,68,51.0,484
9,F,149.7,44.1,26.7,40.4,69.6,89.5,71,31.8,514
10,M,183.5,86.4,16.8,78.4,96.8,121.2,61,55.3,449
11,M,181.5,96.8,11.0,115.6,144.7,170.1,56,58.3,432
12,F,161.0,52.3,31.4,58.4,90.2,110.7,70,23.1,539
13,F,163.0,64.3,31.9,48.1,75.4,104.0,75,20.9,571
14,F,168.6,71.0,20.4,71.9,98.7,124.2,59,51.9,420
15,M,174.4,76.6,14.0,98.6,130.9,152.1,60,45.0,504
16,M,173.8,76.2,19.3,74.4,103.7,117.7,64,41.6,493
17,F,162.2,64.1,30.7,54.1,73.8,82.7,76,25.6,543
18,M,182.2,84.7,15.7,82.0,97.6,117.4,78,36.0,492
19,M,177.0,79.8,24.3,107.5,135.5,151.6,80,33.4,530
20,M,174.4,83.2,15.1,88.8,122.0,139.8,55,53.8,437
21,F,162.9,57.0,29.8,40.8,64.4,74.4,74,40.2,499
22,M,181.2,85.6,14.8,86.4,104.3,108.6,65,55.0,441
23,F,165.0,65.7,32.4,62.8,91.2,122.9,69,34.0,507
24,M,176.5,86.1,22.1,83.1,106.6,141.4,73,39.4,520
25,M,184.2,94.5,19.7,88.1,116.7,138.3,72,44.9,464
26,F,161.3,57.1,34.7,34.8,55.4,60.5,86,11.9,591
27,F,161.0,59.8,25.3,43.5,79.8,108.1,70,31.3,472
28,F,155.6,54.1,22.2,48.8,70.8,99.7,71,40.4,457
29,F,161.3,51.1,23.4,49.5,90.8,95.9,64,39.2,453
30,M,180.8,84.2,22.7,93.9,130.4,158.5,77,37.1,575
31,M,178.8,93.4,8.4,133.5,183.5,208.8,59,58.3,407
32,M,179.7,89.6,15.1,87.8,120.7,139.4,60,53.3,443
33,M,181.7,79.1,10.6,78.1,114.8,133.6,58,58.6,398
34,F,170.7,74.3,30.6,41.9,55.0,76.2,70,41.3,509
35,F,157.6,55.3,27.0,55.3,82.5,102.1,59,40.2,439
36,M,168.0,76.7,11.4,114.5,137.8,164.0,81,36.9,514
37,M,173.8,76.5,15.5,83.4,124.0,129.5,60,55.6,468
38,F,157.0,46.4,40.0,27.4,47.9,53.6,75,27.1,557
39,F,154.6,46.5,35.4,21.3,43.2,57.7,82,26.8,594
40,M,176.2,84.3,11.9,107.4,147.4,154.2,77,42.4,490
41,M,183.1,98.5,13.4,116.6,142.7,173.2,61,44.6,487
42,M,184.7,99.1,11.5,111.7,144.6,170.3,73,47.4,483
43,M,181.0,84.2,13.2,87.7,110.1,124.7,62,47.3,437
44,M,188.4,102.3,17.9,108.9,138.6,174.6,74,35.8,524
45,M,177.0,78.3,24.9,93.6,120.5,155.0,82,28.4,562
46,M,170.7,77.7,14.5,97.1,122.3,144.7,55,59.1,432
47,M,184.7,96.8,11.8,121.9,143.3,189.9,63,62.0,433
48,M,165.0,72.3,22.0,92.6,123.1,146.8,80,34.3,536
49,M,172.0,84.1,13.4,112.2,131.5,161.8,69,50.4,480
50,M,181.7,91.4,12.9,97.3,132.3,146.8,61,58.8,439
51,F,161.9,60.1,31.6,49.7,83.0,90.3,65,41.5,486
52,F,163.0,59.8,26.9,56.9,88.1,105.5,70,35.6,483
53,M,169.0,74.0,17.4,60.5,77.1,91.6,60,56.0,400
